name,stars
dair-ai/Prompt-Engineering-Guide,65291
lydiahallie/javascript-questions,65039
juliangarnier/anime,65014
apache/echarts,64862
firecrawl/firecrawl,64604
kdn251/interviews,64541
OpenHands/OpenHands,64428
kelseyhightower/nocode,64155
TheAlgorithms/Java,64034
prakhar1989/awesome-courses,63894
labmlai/annotated_deep_learning_paper_implementations,63815
scikit-learn/scikit-learn,63789
chrislgarry/Apollo-11,63735
keras-team/keras,63505
bradtraversy/design-resources-for-developers,63454
sindresorhus/awesome-nodejs,63265
resume/resume.github.com,62671
socketio/socket.io,62520
facebook/docusaurus,62320
FuelLabs/sway,62136
NationalSecurityAgency/ghidra,61539
reduxjs/redux,61365
lodash/lodash,61298
PaddlePaddle/PaddleOCR,60976
localstack/localstack,60941
vllm-project/vllm,60936
prometheus/prometheus,60923
atom/atom,60814
alacritty/alacritty,60762
hiyouga/LLaMA-Factory,60726
openinterpreter/open-interpreter,60698
h5bp/Front-end-Developer-Interview-Questions,60655
xingshaocheng/architect-awesome,60499
rust-lang/rustlings,60379
ryanoasis/nerd-fonts,60159
adam-p/markdown-here,60048
tldr-pages/tldr,59815
jquery/jquery,59620
gorhill/uBlock,59289
shadowsocks/shadowsocks-windows,59093
FoundationAgents/MetaGPT,59071
spring-projects/spring-framework,59050
angular/angular.js,58948
meta-llama/llama,58875
youngyangyang04/leetcode-master,58830
scrapy/scrapy,58735
CorentinJ/Real-Time-Voice-Cloning,58646
nuxt/nuxt,58583
commaai/openpilot,58541
nocodb/nocodb,58382
rails/rails,57764
Solido/awesome-flutter,57670
FuelLabs/fuel-core,57497
jgraph/drawio-desktop,57467
traefik/traefik,57293
h5bp/html5-boilerplate,57211
minio/minio,57091
git/git,56945
FiloSottile/mkcert,56935
BurntSushi/ripgrep,56735
scutan90/DeepLearning-500-questions,56732
zylon-ai/private-gpt,56673
PlexPt/awesome-chatgpt-prompts-zh,56641
topjohnwu/Magisk,56536
soimort/you-get,56510
toeverything/AFFiNE,56243
gatsbyjs/gatsby,55940
ultralytics/yolov5,55788
remix-run/react-router,55786
azl397985856/leetcode,55673
ageitgey/face_recognition,55624
sharkdp/bat,55479
pmndrs/zustand,55309
unclecode/crawl4ai,54975
AntonOsika/gpt-engineer,54962
deepfakes/faceswap,54626
ElemeFE/element,54245
golang-standards/project-layout,54214
lencx/ChatGPT,54200
wasabeef/awesome-android-ui,54199
Textualize/rich,54172
FFmpeg/FFmpeg,54099
meilisearch/meilisearch,54086
withastro/astro,54035
TapXWorld/ChinaTextbook,54023
pi-hole/pi-hole,53888
Z4nzu/hackingtool,53847
OpenBB-finance/OpenBB,53831
necolas/normalize.css,53610
psf/requests,53406
rust-unofficial/awesome-rust,53350
maybe-finance/maybe,53328
appwrite/appwrite,53208
rclone/rclone,53122
tiimgreen/github-cheat-sheet,53096
google/material-design-icons,52416
wagoodman/dive,52357
facebookresearch/segment-anything,52219
ionic-team/ionic-framework,52126
mozilla/pdf.js,52121
marktext/marktext,52049
pocketbase/pocketbase,52012
vuejs/core,51952
laurent22/joplin,51855
starship/starship,51840
RVC-Boss/GPT-SoVITS,51790
ngosang/trackerslist,51676
sickcodes/Docker-OSX,51623
cline/cline,51618
Asabeneh/30-Days-Of-Python,51541
JetBrains/kotlin,51486
romkatv/powerlevel10k,51370
go-gitea/gitea,51324
google/guava,51220
Semantic-Org/Semantic-UI,51180
prettier/prettier,51105
microsoft/autogen,51072
TryGhost/Ghost,51028
firstcontributions/first-contributions,50988
LadybirdBrowser/ladybird,50984
jekyll/jekyll,50982
WerWolv/ImHex,50823
etcd-io/etcd,50620
DefinitelyTyped/DefinitelyTyped,50541
xai-org/grok-1,50540
FoundationAgents/OpenManus,50460
PowerShell/PowerShell,50451
Mintplex-Labs/anything-llm,50351
chinese-poetry/chinese-poetry,50244
vsouza/awesome-ios,50195
ethereum/go-ethereum,50114
dani-garcia/vaultwarden,50103
poteto/hiring-without-whiteboards,50096
jgthms/bulma,49979
charlax/professional-programming,49605
agalwood/Motrix,49563
cypress-io/cypress,49379
justjavac/awesome-wechat-weapp,49379
mastodon/mastodon,49155
pathwaycom/pathway,48903
NARKOZ/hacker-scripts,48874
openai/codex,48757
Avik-Jain/100-Days-Of-ML-Code,48549
AlistGo/alist,48448
ReactiveX/RxJava,48419
iamkun/dayjs,48321
moment/moment,48083
dockur/windows,47912
algorithm-visualizer/algorithm-visualizer,47906
JuliaLang/julia,47882
ultralytics/ultralytics,47813
karpathy/nanoGPT,47777
huginn/huginn,47768
nlohmann/json,47624
minimaxir/big-list-of-naughty-strings,47463
opendatalab/MinerU,47400
unslothai/unsloth,47365
typst/typst,47188
gogs/gogs,47112
TanStack/query,47109
jesseduffield/lazydocker,47105
harry0703/MoneyPrinterTurbo,47105
x64dbg/x64dbg,47097
dkhamsing/open-source-ios-apps,47078
kamranahmedse/design-patterns-for-humans,46988
karan/Projects,46970
hashicorp/terraform,46949
pandas-dev/pandas,46920
serverless/serverless,46886
lllyasviel/Fooocus,46866
odoo/odoo,46829
type-challenges/type-challenges,46810
lyswhut/lx-music-desktop,46795
typescript-cheatsheets/react,46728
square/okhttp,46702
coollabsio/coolify,46621
v2ray/v2ray-core,46592
slab/quill,46344
bigskysoftware/htmx,46312
termux/termux-app,46223
kelseyhightower/kubernetes-the-hard-way,46164
ziishaned/learn-regex,46124
2dust/v2rayNG,46104
FlowiseAI/Flowise,46017
serhii-londar/open-source-mac-os-apps,45981
pathwaycom/llm-app,45973
pixijs/pixijs,45931
dbeaver/dbeaver,45917
skylot/jadx,45898
brillout/awesome-react-components,45875
jakevdp/PythonDataScienceHandbook,45863
Asabeneh/30-Days-Of-JavaScript,45486
akullpp/awesome-java,45417
android/architecture-samples,45359
discourse/discourse,45348
oobabooga/text-generation-webui,45222
usememos/memos,45222
Homebrew/brew,45185
dypsilon/frontend-dev-bookmarks,45170
jestjs/jest,45115
ColorlibHQ/AdminLTE,45094
jellyfin/jellyfin,44977
run-llama/llama_index,44879
1c7/chinese-independent-developer,44800
google/zx,44750
meteor/meteor,44744
LeCoupa/awesome-cheatsheets,44594
DovAmir/awesome-design-patterns,44504
vercel/hyper,44447
microsoft/monaco-editor,44406
expo/expo,44339
isocpp/CppCoreGuidelines,44330
acmesh-official/acme.sh,44316
metabase/metabase,44266
jeecgboot/JeecgBoot,44137
prisma/prisma,44136
react-hook-form/react-hook-form,44046
ggml-org/whisper.cpp,44023
astaxie/build-web-application-with-golang,44017
parcel-bundler/parcel,43996
freqtrade/freqtrade,43938
grpc/grpc,43856
Leaflet/Leaflet,43820
square/retrofit,43776
aymericdamien/TensorFlow-Examples,43763
babel/babel,43755
GokuMohandas/Made-With-ML,43744
RocketChat/Rocket.Chat,43706
streamich/react-use,43680
yangshun/front-end-interview-handbook,43628
FuelLabs/fuels-rs,43577
ClickHouse/ClickHouse,43562
FuelLabs/fuels-ts,43559
tldraw/tldraw,43541
GitSquared/edex-ui,43501
pyenv/pyenv,43466
coreybutler/nvm-windows,43348
microsoft/AI-For-Beginners,43337
sudheerj/reactjs-interview-questions,43299
astral-sh/ruff,43287
microsoft/ai-agents-for-beginners,43204
NaiboWang/EasySpider,43160
coqui-ai/TTS,43119
tw93/Pake,43081
apache/airflow,42915
bevyengine/bevy,42829
OpenCut-app/OpenCut,42700
Unitech/pm2,42628
GitHubDaily/GitHubDaily,42622
k88hudson/git-flight-rules,42443
alex/what-happens-when,42405
iina/iina,42326
faif/python-patterns,42311
Light-City/CPlusPlusThings,42291
getsentry/sentry,42284
AykutSarac/jsoncrack.com,42253
spf13/cobra,42230
Alamofire/Alamofire,42182
docling-project/docling,42163
apache/spark,42157
KRTirtho/spotube,42085
virattt/ai-hedge-fund,42051
SimplifyJobs/Summer2026-Internships,42040
